2025-05-14 18:31:33 - sac_trading - INFO - DB 엔진 생성 성공
2025-05-14 18:31:33 - sac_trading - INFO - DataCollector 초기화 완료: 1개 종목 대상
2025-05-14 18:31:33 - sac_trading - INFO - AAPL 데이터 로드 시작...
2025-05-14 18:31:35 - sac_trading - INFO - AAPL 데이터 로드 완료: 276495 행
2025-05-14 18:31:35 - sac_trading - INFO - 총 1/1 종목 데이터 로드 완료
2025-05-14 18:31:35 - sac_trading - INFO - DataProcessor 초기화 완료: 윈도우 크기 30
2025-05-14 18:31:35 - sac_trading - INFO - AAPL 데이터 전처리 시작
2025-05-14 18:31:35 - sac_trading - INFO - open 컬럼을 float64 타입으로 변환했습니다
2025-05-14 18:31:35 - sac_trading - INFO - high 컬럼을 float64 타입으로 변환했습니다
2025-05-14 18:31:35 - sac_trading - INFO - low 컬럼을 float64 타입으로 변환했습니다
2025-05-14 18:31:35 - sac_trading - INFO - close 컬럼을 float64 타입으로 변환했습니다
2025-05-14 18:31:35 - sac_trading - INFO - volume 컬럼을 float64 타입으로 변환했습니다
2025-05-14 18:31:35 - sac_trading - INFO - 데이터 전처리 완료: 276495 행
2025-05-14 18:31:36 - sac_trading - INFO - 특성 추출 완료: 40개 특성
2025-05-14 18:31:36 - sac_trading - INFO - AAPL 데이터 정규화 완료
2025-05-14 18:31:46 - sac_trading - INFO - 윈도우 샘플 생성 완료: X 형태 (276465, 30, 40), y 형태 (276465,)
2025-05-14 18:31:46 - sac_trading - INFO - 데이터 분할 완료: 학습 193525개, 검증 41470개, 테스트 41470개
2025-05-14 18:31:46 - sac_trading - INFO - AAPL 데이터 전처리 완료
2025-05-14 18:31:46 - sac_trading - INFO - 총 1/1 종목 데이터 전처리 완료
2025-05-14 18:31:46 - sac_trading - INFO - AAPL 트레이딩 환경 초기화 완료: 데이터 길이 276495
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
2025-05-14 18:31:46 - sac_trading - WARNING - 현재 가격이 0 이하입니다: -1.275378056297514
